,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
154,,155,Furkan Korkmaz,PHI,72,21.7,3.4,7.8,0.43,2.0,4.9,0.402,1.1,1.4,0.755,0.8,1.4,0.2,2.1,2.3,1.1,0.6,0.2,9.8,75
155,,156,Mitchell Robinson,NYK,61,23.2,4.1,5.6,0.742,0.0,0.0,0.0,1.4,2.4,0.568,0.6,3.2,3.0,4.0,7.0,0.6,0.9,2.0,9.7,81
156,,157,Markieff Morris,LAL,58,20.5,3.5,7.9,0.44299999999999995,1.5,3.9,0.386,1.1,1.5,0.7759999999999999,1.3,2.3,0.7,3.1,3.8,1.3,0.5,0.3,9.7,75
157,,158,Dorian Finney-Smith,DAL,71,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.1,1.5,0.722,1.0,2.5,2.0,3.7,5.7,1.6,0.6,0.5,9.5,76
158,,159,Aaron Holiday,IND,66,24.5,3.5,8.5,0.414,1.3,3.3,0.39399999999999996,1.1,1.3,0.851,1.3,1.8,0.3,2.0,2.4,3.4,0.8,0.2,9.5,76
159,,160,Jeff Green,HOU,48,20.0,3.3,7.2,0.462,1.3,3.8,0.33899999999999997,1.5,1.9,0.802,0.9,1.9,0.5,2.3,2.8,1.0,0.5,0.4,9.4,76
160,,161,Dwight Powell,DAL,40,26.5,3.6,5.7,0.638,0.2,1.0,0.256,1.9,2.8,0.667,0.9,2.5,1.9,3.8,5.7,1.5,0.9,0.5,9.4,76
161,,162,George Hill,MIL,59,21.5,3.3,6.4,0.516,1.4,3.0,0.46,1.4,1.7,0.8420000000000001,1.0,1.4,0.8,2.2,3.0,3.1,0.8,0.1,9.4,77
162,,163,Kentavious Caldwell-Pope,LAL,69,25.5,3.4,7.3,0.467,1.3,3.5,0.385,1.1,1.5,0.775,0.9,1.9,0.6,1.5,2.1,1.6,0.8,0.2,9.3,75
164,,165,Marquese Chriss,GSW,59,20.3,3.6,6.5,0.545,0.1,0.7,0.205,2.0,2.6,0.769,1.3,2.1,1.9,4.3,6.2,1.9,0.7,1.1,9.3,76
165,,166,Landry Shamet,LAC,53,27.4,3.0,7.4,0.40399999999999997,2.1,5.6,0.375,1.2,1.4,0.855,0.8,2.7,0.1,1.8,1.9,1.9,0.4,0.2,9.3,74
166,,167,Daniel Theis,BOS,65,24.1,3.7,6.6,0.5660000000000001,0.5,1.5,0.33299999999999996,1.3,1.8,0.763,0.8,3.4,2.2,4.4,6.6,1.7,0.6,1.3,9.2,79
167,,168,Donte DiVincenzo,MIL,66,23.0,3.5,7.7,0.455,1.3,3.7,0.336,1.0,1.3,0.733,1.4,1.7,1.0,3.8,4.8,2.3,1.3,0.3,9.2,77
168,,169,Jarrett Culver,MIN,63,23.9,3.7,9.0,0.40399999999999997,1.0,3.5,0.299,0.9,1.9,0.462,1.3,2.0,1.1,2.3,3.4,1.7,0.9,0.6,9.2,74
169,,170,Mikal Bridges,PHX,73,28.0,3.4,6.6,0.51,1.0,2.7,0.361,1.4,1.7,0.8440000000000001,1.0,2.2,0.9,3.1,4.0,1.8,1.4,0.6,9.1,77
170,,171,Maxi Kleber,DAL,74,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.1,1.3,0.8490000000000001,0.8,2.4,1.5,3.7,5.2,1.2,0.3,1.1,9.1,76
171,,172,Monte Morris,DEN,73,22.4,3.6,7.8,0.45899999999999996,0.9,2.4,0.37799999999999995,1.0,1.2,0.843,0.7,1.0,0.3,1.5,1.9,3.5,0.8,0.2,9.0,77
172,,173,Derrick Favors,NOP,51,24.4,4.1,6.6,0.617,0.0,0.1,0.14300000000000002,0.8,1.4,0.563,1.1,2.1,3.2,6.6,9.8,1.6,0.6,0.9,9.0,77
176,,177,Cameron Johnson,PHX,57,22.0,3.1,7.1,0.435,1.9,4.8,0.39,0.8,1.0,0.807,0.6,1.5,0.9,2.4,3.3,1.2,0.6,0.4,8.8,76
177,,178,Jordan Poole,GSW,57,22.3,2.9,8.8,0.33299999999999996,1.3,4.6,0.27899999999999997,1.7,2.1,0.7979999999999999,1.3,1.6,0.2,1.9,2.1,2.4,0.6,0.2,8.8,72
178,,179,Kent Bazemore,SAC,68,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,2.2,0.769,1.3,2.9,0.4,3.9,4.3,1.4,1.1,0.6,8.8,74
179,,180,Austin Rivers,HOU,68,23.4,3.1,7.4,0.42100000000000004,1.4,4.0,0.35600000000000004,1.1,1.6,0.703,0.7,1.9,0.4,2.2,2.6,1.7,0.7,0.1,8.8,75
180,,181,Avery Bradley,LAL,49,24.2,3.5,7.8,0.444,1.3,3.5,0.364,0.4,0.5,0.833,1.0,2.2,0.4,2.0,2.3,1.3,0.9,0.1,8.6,74
181,,182,Josh Okogie,MIN,62,25.0,2.7,6.4,0.42700000000000005,0.7,2.5,0.266,2.5,3.1,0.7959999999999999,1.4,2.2,1.4,2.9,4.3,1.6,1.1,0.4,8.6,74
182,,183,Derrick Jones,MIA,59,23.3,3.1,5.9,0.527,0.6,2.2,0.28,1.6,2.1,0.772,0.5,2.2,1.1,2.8,3.9,1.1,1.0,0.6,8.5,75
183,,184,E'Twaun Moore,NOP,56,18.2,3.3,7.8,0.426,1.1,3.0,0.377,0.6,0.8,0.6890000000000001,0.7,1.4,0.6,1.8,2.3,1.4,0.6,0.2,8.3,73
184,,185,DeAndre Jordan,BRK,56,22.0,3.4,5.1,0.6659999999999999,0.0,0.0,0.0,1.5,2.2,0.68,1.3,2.0,2.5,7.5,10.0,1.9,0.3,0.9,8.3,80
185,,186,Ivica Zubac,LAC,72,18.4,3.3,5.4,0.611,0.0,0.0,0.0,1.7,2.3,0.747,0.8,2.3,2.8,4.8,7.6,1.1,0.2,0.9,8.3,78
186,,187,Anfernee Simons,POR,70,20.7,3.1,7.7,0.39899999999999997,1.1,3.2,0.332,1.1,1.3,0.826,0.9,1.9,0.4,1.8,2.2,1.4,0.4,0.1,8.3,72
187,,188,Justin Holiday,IND,73,25.0,2.8,6.7,0.428,1.8,4.5,0.405,0.7,0.9,0.7909999999999999,0.6,1.9,0.4,2.8,3.3,1.3,1.2,0.6,8.3,75
188,,189,Kelly Olynyk,MIA,67,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,1.5,0.86,1.1,2.6,0.7,3.9,4.6,1.7,0.7,0.3,8.2,76
189,,190,Jalen Brunson,DAL,57,17.9,3.2,6.8,0.466,0.8,2.1,0.358,1.1,1.3,0.813,1.2,1.3,0.4,2.0,2.4,3.3,0.4,0.1,8.2,77
190,,191,Enes Kanter,BOS,58,17.0,3.4,6.0,0.5720000000000001,0.0,0.1,0.14300000000000002,1.2,1.7,0.7070000000000001,1.0,1.7,2.8,4.6,7.4,1.0,0.4,0.7,8.1,76
191,,192,Danny Green,LAL,68,24.8,2.9,7.0,0.41600000000000004,1.8,4.8,0.36700000000000005,0.5,0.7,0.688,0.9,2.0,0.8,2.6,3.3,1.3,1.2,0.5,8.0,76
192,,193,Tony Snell,DET,59,27.8,2.9,6.5,0.445,1.7,4.3,0.402,0.5,0.5,1.0,0.5,1.7,0.2,1.7,1.9,2.2,0.5,0.3,8.0,72
193,,194,Draymond Green,GSW,43,28.4,2.9,7.3,0.389,0.8,3.0,0.27899999999999997,1.5,1.9,0.759,2.3,2.6,0.5,5.7,6.2,6.2,1.4,0.8,8.0,79
194,,195,Trevor Ariza,POR,53,28.2,2.7,6.1,0.43799999999999994,1.5,3.9,0.37200000000000005,1.2,1.4,0.838,1.1,2.1,0.6,4.0,4.6,1.7,1.3,0.3,8.0,74
195,,196,Alex Len,SAC,55,17.6,3.2,5.8,0.555,0.3,1.1,0.271,1.2,1.9,0.648,1.0,2.3,1.8,4.0,5.8,0.9,0.4,0.9,8.0,76
196,,197,Patrick Beverley,LAC,51,26.3,2.9,6.7,0.431,1.6,4.0,0.38799999999999996,0.6,0.9,0.66,1.3,3.1,1.1,4.1,5.2,3.6,1.1,0.5,7.9,78
197,,198,De'Anthony Melton,MEM,60,19.5,2.7,6.7,0.401,0.7,2.3,0.28600000000000003,1.6,2.0,0.769,1.4,1.8,0.7,3.0,3.7,2.9,1.3,0.3,7.6,75
198,,199,Omari Spellman,GSW,49,18.1,2.6,6.0,0.431,0.9,2.2,0.391,1.5,1.9,0.7929999999999999,1.1,1.3,1.6,2.9,4.5,1.0,0.7,0.5,7.6,74
199,,200,Terence Davis,TOR,72,16.8,2.8,6.1,0.456,1.3,3.4,0.38799999999999996,0.7,0.8,0.8640000000000001,1.1,1.7,0.7,2.6,3.3,1.6,0.5,0.2,7.5,76
200,,201,Dwight Howard,LAL,69,18.9,2.9,4.0,0.7290000000000001,0.0,0.1,0.6,1.6,3.1,0.514,1.2,3.2,2.5,4.9,7.3,0.7,0.4,1.1,7.5,78
201,,202,Tyus Jones,MEM,65,19.0,3.0,6.6,0.45899999999999996,0.7,1.9,0.379,0.7,0.9,0.741,0.8,0.7,0.1,1.4,1.6,4.4,0.9,0.1,7.4,76
202,,203,Bismack Biyombo,CHA,53,19.4,2.8,5.2,0.5429999999999999,0.0,0.0,0.0,1.7,2.8,0.603,0.9,2.2,2.3,3.5,5.8,0.9,0.2,0.9,7.4,76
203,,204,Jaxson Hayes,NOP,64,16.9,2.7,4.1,0.669,0.0,0.1,0.25,1.9,3.0,0.647,0.8,2.5,1.5,2.5,4.1,0.9,0.4,0.9,7.4,76
204,,205,Wesley Matthews,MIL,67,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.8,1.0,0.765,0.6,1.5,0.3,2.1,2.5,1.4,0.6,0.1,7.4,75
205,,206,Gorgui Dieng,MEM,63,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.2,1.6,0.772,1.0,2.0,1.4,4.2,5.6,1.2,0.8,0.9,7.4,74
206,,207,Nerlens Noel,OKC,61,18.5,3.0,4.4,0.684,0.0,0.0,0.33299999999999996,1.3,1.7,0.755,1.1,2.7,1.5,3.4,4.9,0.9,1.0,1.5,7.4,76
207,,208,Emmanuel Mudiay,UTA,54,15.7,2.8,6.1,0.462,0.6,1.6,0.345,1.2,1.5,0.759,1.4,1.3,0.3,2.0,2.3,2.1,0.4,0.2,7.3,74
208,,209,Kris Dunn,CHI,51,24.9,3.0,6.7,0.444,0.6,2.2,0.259,0.8,1.1,0.741,1.3,3.1,0.5,3.2,3.6,3.4,2.0,0.3,7.3,76
209,,210,Willie Cauley-Stein,DAL,54,20.3,3.2,5.6,0.579,0.0,0.0,0.0,0.7,1.2,0.606,0.7,2.2,1.6,4.3,5.8,1.3,0.9,1.1,7.2,77
210,,211,Mason Plumlee,DEN,61,17.3,2.9,4.7,0.615,0.0,0.1,0.0,1.4,2.5,0.535,1.3,2.3,1.6,3.6,5.2,2.5,0.5,0.6,7.2,77
211,,212,Rajon Rondo,LAL,48,20.5,2.9,6.8,0.418,0.9,2.6,0.32799999999999996,0.6,0.9,0.659,1.9,1.2,0.5,2.5,3.0,5.0,0.8,0.0,7.1,76
212,,213,Rondae Hollis-Jefferson,TOR,60,18.7,2.6,5.5,0.47100000000000003,0.1,0.4,0.13,1.8,2.4,0.7340000000000001,1.0,1.9,1.8,2.9,4.7,1.8,0.8,0.4,7.0,76
214,,215,Delon Wright,DAL,73,21.5,2.6,5.6,0.462,0.6,1.7,0.37,1.1,1.4,0.77,1.0,1.3,1.0,2.9,3.8,3.3,1.2,0.3,6.9,75
215,,216,Brad Wanamaker,BOS,71,19.3,2.3,5.1,0.44799999999999995,0.5,1.4,0.363,1.8,1.9,0.9259999999999999,1.1,1.9,0.3,1.7,2.0,2.5,0.9,0.2,6.9,73
216,,217,JaMychal Green,LAC,63,20.7,2.4,5.6,0.429,1.5,3.8,0.387,0.6,0.8,0.75,0.9,2.8,1.2,4.9,6.2,0.8,0.5,0.4,6.8,72
217,,218,Damyean Dotson,NYK,48,17.4,2.5,6.0,0.414,1.2,3.4,0.36200000000000004,0.5,0.7,0.667,0.4,0.9,0.2,1.7,1.9,1.2,0.5,0.1,6.7,72
218,,219,Kyle Korver,MIL,58,16.5,2.2,5.1,0.43,1.7,4.1,0.418,0.6,0.7,0.8540000000000001,0.8,1.3,0.3,1.8,2.1,1.2,0.4,0.2,6.7,73
219,,220,Chris Boucher,TOR,62,13.2,2.3,4.8,0.47200000000000003,0.6,1.9,0.322,1.5,1.9,0.784,0.5,1.8,1.7,2.7,4.5,0.4,0.4,1.0,6.6,77
220,,221,Nicolo Melli,NOP,60,17.4,2.3,5.4,0.42100000000000004,1.1,3.4,0.335,0.9,1.2,0.74,0.8,2.1,0.6,2.4,3.0,1.4,0.6,0.4,6.6,75
221,,222,James Ennis,ORL,69,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.1,1.4,0.8059999999999999,0.8,2.0,1.0,2.5,3.6,0.9,0.5,0.3,6.6,75
222,,223,Ersan Ilyasova,MIL,63,15.7,2.3,5.0,0.466,0.8,2.2,0.365,1.1,1.4,0.828,0.5,1.5,1.0,3.8,4.8,0.8,0.4,0.3,6.6,76
223,,224,JaVale McGee,LAL,68,16.6,2.9,4.5,0.637,0.0,0.1,0.5,0.8,1.2,0.6459999999999999,0.8,2.3,1.8,3.9,5.7,0.5,0.5,1.4,6.6,78
225,,226,Kevin Knox,NYK,65,17.9,2.2,6.2,0.359,1.0,3.1,0.327,1.0,1.6,0.653,0.7,1.6,0.4,2.4,2.8,0.9,0.4,0.4,6.4,72
226,,227,Trey Lyles,SAS,63,20.2,2.4,5.4,0.446,1.0,2.7,0.387,0.5,0.7,0.733,0.6,1.6,1.1,4.6,5.7,1.1,0.4,0.4,6.4,75
227,,228,Lonnie Walker,SAS,61,16.2,2.5,5.9,0.426,0.7,1.7,0.406,0.7,1.0,0.721,0.7,1.3,0.4,1.9,2.3,1.1,0.5,0.2,6.4,73
228,,229,Cory Joseph,SAC,72,24.4,2.4,5.7,0.415,0.8,2.2,0.35200000000000004,0.8,1.0,0.857,1.1,1.8,0.6,2.0,2.6,3.5,0.7,0.3,6.4,73
229,,230,Royce O'Neale,UTA,71,28.9,2.2,5.1,0.433,1.3,3.4,0.377,0.6,0.8,0.764,0.9,2.8,0.4,5.1,5.5,2.5,0.8,0.5,6.3,74
230,,231,Marco Belinelli,SAS,57,15.5,2.2,5.5,0.392,1.2,3.1,0.376,0.8,1.0,0.828,0.3,0.8,0.1,1.6,1.7,1.2,0.2,0.0,6.3,71
231,,232,Frank Jackson,NOP,59,13.5,2.3,5.6,0.405,0.8,2.4,0.326,0.9,1.3,0.747,0.8,1.3,0.4,1.0,1.4,1.0,0.3,0.1,6.3,71
232,,233,Abdel Nader,OKC,55,15.8,2.2,4.8,0.46799999999999997,0.9,2.3,0.375,0.9,1.2,0.773,0.8,1.4,0.3,1.6,1.8,0.7,0.4,0.4,6.3,71
233,,234,Frank Ntilikina,NYK,57,20.8,2.3,5.8,0.39299999999999996,0.8,2.4,0.321,0.9,1.0,0.8640000000000001,1.2,2.5,0.4,1.7,2.1,3.0,0.9,0.3,6.3,73
234,,235,Taj Gibson,NYK,62,16.5,2.7,4.6,0.584,0.1,0.2,0.28600000000000003,0.7,0.9,0.732,0.8,2.0,1.8,2.5,4.3,0.8,0.4,0.5,6.1,77
235,,236,Mike Scott,PHI,68,17.8,2.2,5.1,0.426,1.2,3.2,0.369,0.4,0.5,0.8109999999999999,0.4,1.4,1.0,2.7,3.6,0.8,0.3,0.1,6.0,72
236,,237,Georges Niang,UTA,66,14.0,2.1,4.9,0.43799999999999994,1.4,3.4,0.4,0.3,0.4,0.833,0.5,1.1,0.2,1.7,1.9,0.7,0.3,0.1,5.9,73
237,,238,Marvin Williams,MIL,58,19.5,2.1,4.6,0.446,1.0,2.7,0.359,0.8,1.0,0.86,0.6,1.8,0.5,2.6,3.2,1.0,0.6,0.5,5.9,74
238,,239,Kyle Anderson,MEM,67,19.8,2.3,4.9,0.474,0.4,1.3,0.282,0.8,1.2,0.667,1.0,1.7,0.9,3.4,4.3,2.4,0.8,0.6,5.8,75
240,,241,Wesley Iwundu,ORL,52,18.3,1.9,4.5,0.41600000000000004,0.5,1.6,0.341,1.5,1.9,0.804,0.5,1.5,0.5,2.1,2.5,1.2,0.5,0.2,5.8,72
242,,243,Skal Labissiere,POR,33,17.2,2.5,4.5,0.551,0.1,0.4,0.231,0.8,1.0,0.758,0.9,2.7,2.0,3.2,5.1,1.3,0.2,0.9,5.8,74
243,,244,Dwayne Bacon,CHA,39,17.6,2.2,6.3,0.348,0.5,1.7,0.284,0.9,1.4,0.66,0.9,1.3,0.4,2.2,2.6,1.3,0.6,0.1,5.7,70
244,,245,Jakob Poeltl,SAS,66,17.7,2.5,4.0,0.624,0.0,0.0,0.0,0.6,1.3,0.465,0.8,1.9,2.0,3.7,5.7,1.8,0.6,1.4,5.6,76
245,,246,Darius Bazley,OKC,61,18.5,2.0,5.2,0.39399999999999996,0.8,2.3,0.348,0.7,1.0,0.6940000000000001,0.7,0.9,0.5,3.5,4.0,0.7,0.4,0.7,5.6,73
246,,247,Damian Jones,ATL,55,16.1,2.2,3.2,0.68,0.0,0.2,0.222,1.1,1.5,0.738,0.5,2.7,1.3,2.4,3.7,0.6,0.5,0.7,5.6,74
247,,248,Justin Jackson,DAL,65,16.1,2.1,5.2,0.396,0.7,2.5,0.294,0.6,0.8,0.84,0.2,1.1,0.4,2.0,2.4,0.8,0.2,0.2,5.5,72
248,,249,Solomon Hill,MIA,59,18.4,1.9,4.7,0.396,1.1,2.9,0.368,0.7,0.9,0.741,0.9,1.4,0.5,2.3,2.8,1.8,0.7,0.2,5.5,71
249,,250,Alex Caruso,LAL,64,18.4,1.9,4.5,0.41200000000000003,0.6,1.9,0.33299999999999996,1.1,1.5,0.7340000000000001,0.8,1.5,0.3,1.7,1.9,1.9,1.1,0.3,5.5,74
250,,251,Torrey Craig,DEN,58,18.5,2.1,4.6,0.461,0.8,2.4,0.326,0.4,0.6,0.611,0.4,2.3,1.1,2.2,3.3,0.8,0.4,0.6,5.4,74
251,,252,Robin Lopez,MIL,66,14.5,2.2,4.5,0.49200000000000005,0.5,1.6,0.33299999999999996,0.4,0.8,0.528,1.0,1.5,0.8,1.6,2.4,0.7,0.2,0.7,5.4,73
252,,253,Pat Connaughton,MIL,67,18.6,2.0,4.5,0.455,0.8,2.5,0.331,0.5,0.6,0.775,0.8,1.0,0.9,3.3,4.2,1.6,0.4,0.5,5.4,73
254,,255,David Nwaba,BRK,20,13.4,1.9,3.5,0.521,0.6,1.4,0.429,0.9,1.4,0.667,0.4,1.6,0.4,1.9,2.2,0.4,0.6,0.6,5.2,73
255,,256,Sterling Brown,MIL,52,14.7,1.8,4.9,0.371,0.8,2.6,0.324,0.6,0.8,0.8,0.8,1.0,0.6,2.9,3.5,1.0,0.6,0.1,5.1,71
257,,258,Jerome Robinson,WAS,63,15.5,1.8,4.9,0.371,0.8,2.4,0.32,0.6,0.9,0.7020000000000001,0.8,1.8,0.2,1.8,2.0,1.4,0.4,0.3,5.1,73
258,,259,Isaac Bonga,WAS,66,18.9,1.8,3.5,0.504,0.4,1.1,0.35200000000000004,1.0,1.3,0.812,0.9,2.4,1.1,2.3,3.4,1.2,0.7,0.3,5.0,72
260,,261,Cody Martin,CHA,48,18.8,1.9,4.3,0.43,0.4,1.6,0.23399999999999999,0.9,1.4,0.6459999999999999,0.9,1.6,0.8,2.5,3.3,2.0,0.8,0.2,5.0,72
261,,262,Patrick Patterson,LAC,59,13.2,1.6,3.9,0.408,1.1,2.9,0.39,0.6,0.7,0.8140000000000001,0.4,0.9,0.6,2.0,2.6,0.7,0.1,0.1,4.9,74
262,,263,Jevon Carter,PHX,58,16.3,1.7,4.2,0.41600000000000004,1.1,2.5,0.425,0.4,0.5,0.852,0.6,1.5,0.5,1.5,2.0,1.4,0.8,0.3,4.9,73
263,,264,Tony Bradley,UTA,58,11.4,2.2,3.3,0.667,0.1,0.1,1.0,0.5,0.8,0.652,0.5,2.0,1.9,2.7,4.6,0.4,0.2,0.6,4.9,75
264,,265,Mario Hezonja,POR,53,16.4,1.7,4.1,0.42200000000000004,0.5,1.5,0.308,0.9,1.1,0.8140000000000001,0.8,2.0,0.6,2.9,3.5,0.9,0.7,0.2,4.8,73
265,,266,Matisse Thybulle,PHI,65,19.8,1.7,4.1,0.423,0.9,2.4,0.35700000000000004,0.4,0.6,0.61,0.8,2.2,0.7,1.0,1.6,1.2,1.4,0.7,4.7,75
266,,267,Thon Maker,DET,60,12.9,1.6,3.2,0.48200000000000004,0.4,1.1,0.344,1.2,1.8,0.664,0.8,1.7,0.9,1.9,2.8,0.7,0.4,0.7,4.7,73
267,,268,Ryan Arcidiacono,CHI,58,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.5,0.7,0.711,0.6,1.7,0.3,1.6,1.9,1.7,0.5,0.1,4.5,70
268,,269,Treveon Graham,ATL,55,16.9,1.6,4.4,0.36,0.6,2.2,0.275,0.7,1.0,0.643,0.5,1.9,0.9,1.8,2.7,0.8,0.4,0.1,4.4,71
269,,270,Al-Farouq Aminu,ORL,18,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,1.1,1.6,0.655,0.9,1.5,1.3,3.5,4.8,1.2,1.0,0.4,4.3,75
270,,271,Bruno Fernando,ATL,56,12.7,1.8,3.6,0.518,0.1,0.7,0.135,0.5,0.9,0.569,0.8,1.9,1.2,2.3,3.5,0.9,0.3,0.3,4.3,73
271,,272,Elie Okobo,PHX,55,13.1,1.3,3.3,0.39799999999999996,0.5,1.3,0.35200000000000004,0.9,1.3,0.7040000000000001,0.7,1.0,0.3,1.3,1.6,2.1,0.4,0.1,4.0,71
272,,273,Terrance Ferguson,OKC,56,22.5,1.4,3.9,0.355,0.9,3.0,0.292,0.3,0.4,0.75,0.6,2.8,0.4,0.9,1.3,0.9,0.5,0.3,3.9,71
273,,274,Anthony Tolliver,MEM,55,15.9,1.2,3.3,0.35700000000000004,0.9,2.6,0.33799999999999997,0.4,0.5,0.7240000000000001,0.6,1.3,0.6,2.2,2.8,0.8,0.3,0.2,3.6,71
274,,275,Nassir Little,POR,48,11.9,1.4,3.1,0.43,0.3,1.2,0.237,0.6,0.9,0.636,0.3,1.5,0.6,1.6,2.2,0.5,0.3,0.3,3.6,72
275,,276,Grant Williams,BOS,69,15.1,1.3,3.1,0.41200000000000003,0.3,1.4,0.25,0.6,0.8,0.722,0.7,2.4,0.9,1.7,2.6,1.0,0.4,0.5,3.4,71
276,,277,Semi Ojeleye,BOS,69,14.6,1.2,2.8,0.408,0.7,1.8,0.37799999999999995,0.4,0.5,0.875,0.3,1.2,0.4,1.7,2.1,0.5,0.3,0.1,3.4,71
277,,278,Rodney McGruder,LAC,56,15.6,1.3,3.2,0.39799999999999996,0.4,1.6,0.27,0.3,0.6,0.5589999999999999,0.4,1.3,0.5,2.2,2.7,0.6,0.5,0.1,3.3,71
278,,279,Goga Bitadze,IND,54,8.7,1.3,2.8,0.467,0.1,0.8,0.19,0.4,0.6,0.727,0.5,1.2,0.5,1.5,2.0,0.4,0.2,0.7,3.2,73
