,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
75,Dwight Howard,ATL,74,29.7,5.2,8.3,0.633,0.0,0.0,0.0,3.1,5.7,0.5329999999999999,2.3,2.7,4.0,8.7,12.7,1.4,0.9,1.2,13.5,81
76,Wesley Matthews,DAL,73,34.2,4.6,11.6,0.39299999999999996,2.4,6.6,0.363,2.0,2.5,0.816,1.4,2.2,0.2,3.3,3.5,2.9,1.1,0.2,13.5,77
77,Otto Porter,WAS,80,32.6,5.2,10.0,0.516,1.9,4.3,0.434,1.2,1.5,0.8320000000000001,0.6,2.4,1.5,5.0,6.4,1.5,1.4,0.5,13.4,80
78,Darren Collison,SAC,68,30.3,5.0,10.5,0.47600000000000003,1.1,2.6,0.41700000000000004,2.2,2.5,0.86,1.7,1.8,0.3,1.9,2.2,4.6,1.0,0.1,13.2,78
79,Nick Young,LAL,60,25.9,4.5,10.6,0.43,2.8,7.0,0.40399999999999997,1.3,1.5,0.856,0.6,2.3,0.4,1.9,2.3,1.0,0.6,0.2,13.2,74
80,Julius Randle,LAL,74,28.8,5.1,10.4,0.488,0.2,0.9,0.27,2.8,3.8,0.723,2.3,3.4,2.0,6.6,8.6,3.6,0.7,0.5,13.2,78
81,Sean Kilpatrick,BRK,70,25.1,4.4,10.5,0.415,1.5,4.4,0.341,2.9,3.5,0.843,1.9,1.7,0.3,3.7,4.0,2.2,0.6,0.1,13.1,74
82,Ersan Ilyasova,ATL,82,26.1,4.7,10.9,0.431,1.7,4.9,0.353,2.0,2.5,0.778,1.4,2.6,1.4,4.5,5.9,1.7,0.7,0.3,13.1,75
83,Robert Covington,PHI,67,31.6,4.4,10.9,0.39899999999999997,2.0,6.1,0.33299999999999996,2.1,2.6,0.8220000000000001,2.0,3.0,1.4,5.1,6.5,1.5,1.9,1.0,12.9,78
84,Dario Saric,PHI,81,26.3,4.7,11.4,0.41100000000000003,1.3,4.2,0.311,2.1,2.7,0.782,2.3,2.0,1.4,5.0,6.3,2.2,0.7,0.4,12.8,78
85,James Johnson,MIA,76,27.4,4.8,10.1,0.479,1.1,3.4,0.34,2.0,2.8,0.7070000000000001,2.2,2.6,0.9,4.1,4.9,3.6,1.0,1.1,12.8,79
86,Seth Curry,DAL,70,29.0,4.8,10.0,0.48100000000000004,2.0,4.6,0.425,1.2,1.4,0.85,1.3,1.8,0.4,2.2,2.6,2.7,1.1,0.1,12.8,77
87,Elfrid Payton,ORL,82,29.4,5.2,11.1,0.47100000000000003,0.5,1.8,0.27399999999999997,1.8,2.6,0.6920000000000001,2.2,2.2,1.1,3.6,4.7,6.5,1.1,0.5,12.8,77
88,Aaron Gordon,ORL,80,28.7,4.9,10.8,0.45399999999999996,1.0,3.3,0.28800000000000003,1.9,2.7,0.7190000000000001,1.1,2.1,1.4,3.6,5.1,1.9,0.8,0.5,12.7,78
89,DeAndre Jordan,LAC,81,31.7,5.1,7.1,0.7140000000000001,0.0,0.0,0.0,2.5,5.2,0.48200000000000004,1.4,2.6,3.7,10.1,13.8,1.2,0.6,1.7,12.7,87
90,Rodney Hood,UTA,59,27.0,4.6,11.3,0.408,1.9,5.2,0.371,1.5,1.9,0.7829999999999999,1.1,2.2,0.3,3.2,3.4,1.6,0.6,0.2,12.7,78
91,Clint Capela,HOU,65,23.9,5.6,8.7,0.643,0.0,0.0,0.0,1.4,2.7,0.531,1.3,2.8,2.7,5.4,8.1,1.0,0.5,1.2,12.6,79
92,Pau Gasol,SAS,64,25.4,4.7,9.4,0.502,0.9,1.6,0.5379999999999999,2.0,2.9,0.7070000000000001,1.3,1.7,1.7,6.2,7.8,2.3,0.4,1.1,12.4,81
93,Jamal Crawford,LAC,82,26.3,4.4,10.6,0.413,1.4,3.9,0.36,2.1,2.5,0.857,1.6,1.4,0.2,1.4,1.6,2.6,0.7,0.2,12.3,77
94,Austin Rivers,LAC,74,27.8,4.4,9.9,0.442,1.5,4.0,0.371,1.8,2.6,0.691,1.6,2.5,0.3,1.9,2.2,2.8,0.6,0.1,12.0,80
95,Jonas Valanciunas,TOR,80,25.8,4.9,8.8,0.557,0.0,0.0,0.5,2.2,2.7,0.8109999999999999,1.3,2.7,2.8,6.7,9.5,0.7,0.5,0.8,12.0,81
96,Greg Monroe,MIL,81,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,2.2,3.0,0.741,1.7,2.1,2.1,4.5,6.6,2.3,1.1,0.5,11.7,80
97,Trevor Ariza,HOU,80,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.2,1.6,0.738,0.9,1.7,0.7,5.0,5.7,2.2,1.8,0.2,11.7,78
98,Frank Kaminsky,CHA,75,26.1,4.3,10.7,0.39899999999999997,1.5,4.7,0.32799999999999996,1.6,2.1,0.7559999999999999,1.0,1.9,0.8,3.7,4.5,2.2,0.6,0.5,11.7,76
99,Steven Adams,OKC,80,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,2.0,3.2,0.611,1.8,2.4,3.5,4.2,7.7,1.1,1.1,1.0,11.3,82
100,Marvin Williams,CHA,76,30.2,3.9,9.3,0.42200000000000004,1.6,4.7,0.35,1.7,2.0,0.873,0.8,1.8,1.2,5.4,6.6,1.4,0.8,0.7,11.2,77
101,Ricky Rubio,MIN,75,32.9,3.5,8.7,0.402,0.8,2.6,0.306,3.4,3.8,0.8909999999999999,2.6,2.7,0.9,3.2,4.1,9.1,1.7,0.1,11.1,79
102,Thaddeus Young,IND,74,30.2,4.9,9.3,0.527,0.6,1.6,0.381,0.6,1.2,0.523,1.3,1.8,1.8,4.3,6.1,1.6,1.5,0.4,11.0,77
103,Terrence Ross,ORL,78,25.1,4.2,9.6,0.43700000000000006,1.8,5.0,0.363,0.8,1.0,0.831,0.9,1.8,0.2,2.4,2.6,1.1,1.1,0.4,11.0,75
104,Kent Bazemore,ATL,73,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,1.6,2.3,0.708,1.7,2.3,0.6,2.5,3.2,2.4,1.2,0.7,11.0,74
105,Deron Williams,CLE,64,25.9,4.1,9.4,0.43799999999999994,1.3,3.7,0.363,1.4,1.7,0.826,2.2,2.2,0.2,2.1,2.3,5.6,0.5,0.1,11.0,74
106,Taj Gibson,OKC,78,25.5,4.7,9.1,0.515,0.0,0.2,0.231,1.4,2.0,0.715,1.3,2.1,2.0,4.2,6.2,0.9,0.5,0.8,10.8,76
107,Courtney Lee,NYK,77,31.9,4.2,9.1,0.456,1.4,3.5,0.401,1.1,1.3,0.867,0.9,1.8,0.7,2.7,3.4,2.3,1.1,0.3,10.8,75
108,Marcin Gortat,WAS,82,31.2,4.8,8.2,0.579,0.0,0.0,0.0,1.3,1.9,0.648,1.5,2.6,2.9,7.5,10.4,1.5,0.5,0.7,10.8,78
110,Allen Crabbe,POR,79,28.5,3.8,8.2,0.46799999999999997,1.7,3.8,0.444,1.3,1.6,0.847,0.8,2.2,0.2,2.6,2.9,1.2,0.7,0.3,10.7,75
111,Nikola Mirotic,CHI,70,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.4,1.8,0.773,1.1,1.8,0.9,4.6,5.5,1.1,0.8,0.8,10.6,76
112,Marcus Smart,BOS,79,30.4,3.4,9.5,0.359,1.2,4.2,0.28300000000000003,2.6,3.2,0.812,2.0,2.4,1.0,2.9,3.9,4.6,1.6,0.4,10.6,79
113,Buddy Hield,SAC,82,23.0,4.0,9.4,0.426,1.8,4.6,0.391,0.8,0.9,0.8420000000000001,1.2,1.4,0.4,2.9,3.3,1.5,0.5,0.1,10.6,77
114,Marco Belinelli,CHA,74,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.0,2.3,0.893,0.9,1.2,0.2,2.2,2.4,2.0,0.6,0.1,10.5,74
115,Wayne Ellington,MIA,62,24.2,3.7,9.0,0.41600000000000004,2.4,6.4,0.37799999999999995,0.6,0.7,0.86,0.5,1.1,0.3,1.8,2.1,1.1,0.6,0.1,10.5,74
116,Mason Plumlee,DEN,81,26.5,4.1,7.7,0.536,0.0,0.1,0.0,2.1,3.7,0.58,1.7,2.8,2.1,5.4,7.5,3.5,0.9,1.1,10.4,77
117,Robin Lopez,CHI,81,28.0,4.7,9.6,0.493,0.0,0.0,0.0,0.9,1.3,0.721,1.1,1.9,3.0,3.4,6.4,1.0,0.2,1.4,10.4,76
118,Cody Zeller,CHA,62,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,2.1,3.2,0.679,1.0,3.0,2.2,4.4,6.5,1.6,1.0,0.9,10.3,77
119,Malcolm Brogdon,MIL,75,26.4,3.9,8.5,0.457,1.0,2.6,0.40399999999999997,1.5,1.7,0.865,1.5,1.9,0.6,2.2,2.8,4.2,1.1,0.2,10.2,78
120,Jon Leuer,DET,75,25.9,4.1,8.6,0.48,0.7,2.2,0.293,1.3,1.5,0.867,0.9,1.9,1.4,4.0,5.4,1.5,0.4,0.3,10.2,75
121,Draymond Green,GSW,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.0,2.8,0.7090000000000001,2.4,2.9,1.3,6.6,7.9,7.0,2.0,1.4,10.2,88
122,Jusuf Nurkic,POR,65,21.4,4.2,8.2,0.507,0.0,0.0,0.0,1.8,3.2,0.5710000000000001,2.2,2.5,2.4,4.8,7.2,1.9,0.8,1.1,10.2,79
123,Tony Parker,SAS,63,25.2,4.2,9.0,0.466,0.4,1.1,0.33299999999999996,1.3,1.9,0.726,1.4,1.5,0.1,1.7,1.8,4.5,0.5,0.0,10.1,77
124,Kyle Korver,CLE,67,26.2,3.6,7.7,0.46399999999999997,2.4,5.4,0.451,0.6,0.6,0.905,1.0,1.6,0.1,2.7,2.8,1.6,0.5,0.3,10.1,74
126,Trevor Booker,BRK,71,24.7,4.3,8.3,0.516,0.4,1.1,0.321,1.0,1.5,0.6729999999999999,1.8,2.1,2.0,6.0,8.0,1.9,1.1,0.4,10.0,76
127,Gorgui Dieng,MIN,82,32.4,4.0,8.1,0.502,0.2,0.5,0.37200000000000005,1.7,2.0,0.8140000000000001,1.3,3.1,2.3,5.6,7.9,1.9,1.1,1.2,10.0,76
128,Shabazz Muhammad,MIN,78,19.4,3.7,7.7,0.48200000000000004,0.6,1.9,0.33799999999999997,1.9,2.4,0.774,0.7,1.1,1.1,1.7,2.8,0.4,0.3,0.1,9.9,75
129,Jamal Murray,DEN,82,21.5,3.6,8.9,0.40399999999999997,1.4,4.2,0.33399999999999996,1.3,1.5,0.883,1.4,1.5,0.5,2.1,2.6,2.1,0.6,0.3,9.9,77
130,Ty Lawson,SAC,69,25.1,3.4,7.6,0.45399999999999996,0.5,1.7,0.28800000000000003,2.5,3.1,0.797,1.9,1.7,0.6,2.0,2.6,4.8,1.1,0.1,9.9,75
131,Jeremy Lamb,CHA,62,18.4,3.6,7.9,0.46,0.7,2.4,0.281,1.8,2.1,0.853,0.6,1.6,0.5,3.8,4.3,1.2,0.4,0.4,9.7,75
132,Kenneth Faried,DEN,61,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,2.1,3.1,0.693,1.0,2.0,3.0,4.6,7.6,0.9,0.7,0.7,9.6,78
133,E'Twaun Moore,NOP,73,24.9,3.9,8.5,0.457,1.1,2.8,0.37,0.8,1.0,0.77,0.8,1.8,0.5,1.6,2.1,2.2,0.7,0.4,9.6,74
134,Patrick Beverley,HOU,67,30.7,3.4,8.1,0.42,1.6,4.3,0.382,1.1,1.4,0.768,1.5,3.3,1.4,4.4,5.9,4.2,1.5,0.4,9.5,79
135,Derrick Favors,UTA,50,23.7,4.1,8.3,0.48700000000000004,0.1,0.2,0.3,1.3,2.2,0.615,1.2,2.1,1.8,4.3,6.1,1.1,0.9,0.8,9.5,78
137,Nik Stauskas,PHI,80,27.3,3.1,7.9,0.396,1.6,4.5,0.368,1.5,1.9,0.813,1.6,1.8,0.3,2.6,2.8,2.4,0.6,0.4,9.4,73
138,Michael Beasley,MIL,56,16.7,3.9,7.2,0.532,0.3,0.8,0.419,1.4,1.9,0.743,1.2,1.6,0.7,2.7,3.4,0.9,0.5,0.5,9.4,75
139,Brandon Ingram,LAL,79,28.9,3.5,8.7,0.402,0.7,2.4,0.294,1.7,2.7,0.621,1.5,2.0,0.8,3.2,4.0,2.1,0.6,0.5,9.4,76
141,Cory Joseph,TOR,80,25.0,3.7,8.3,0.452,0.6,1.7,0.35600000000000004,1.2,1.5,0.77,1.4,1.8,0.6,2.3,2.9,3.3,0.8,0.2,9.2,75
142,Jeff Green,ORL,69,22.2,3.2,8.1,0.39399999999999996,0.8,2.8,0.275,2.1,2.4,0.863,1.1,1.5,0.6,2.5,3.1,1.2,0.5,0.2,9.2,73
144,Marquese Chriss,PHX,82,21.3,3.5,7.7,0.449,0.9,2.7,0.321,1.4,2.2,0.624,1.3,3.2,1.2,3.1,4.2,0.7,0.8,0.9,9.2,76
145,Michael Kidd-Gilchrist,CHA,81,29.0,3.6,7.6,0.47700000000000004,0.0,0.1,0.111,1.9,2.4,0.784,0.7,2.3,1.9,5.0,7.0,1.4,1.0,1.0,9.2,77
146,Joe Johnson,UTA,78,23.6,3.5,8.0,0.436,1.4,3.3,0.41100000000000003,0.8,1.0,0.818,0.9,1.2,0.4,2.7,3.1,1.8,0.5,0.2,9.2,76
147,Jameer Nelson,DEN,75,27.3,3.6,8.1,0.444,1.4,3.6,0.38799999999999996,0.6,0.8,0.7140000000000001,1.7,2.6,0.4,2.2,2.6,5.1,0.7,0.1,9.2,74
148,Channing Frye,CLE,74,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,0.409,0.9,1.0,0.851,0.7,1.9,0.5,3.4,3.9,0.6,0.4,0.5,9.1,73
150,Montrezl Harrell,HOU,58,18.3,3.9,5.9,0.652,0.0,0.1,0.14300000000000002,1.3,2.1,0.628,0.8,2.2,1.4,2.4,3.8,1.1,0.3,0.7,9.1,74
151,Tony Allen,MEM,71,27.0,3.9,8.4,0.461,0.2,0.8,0.278,1.1,1.8,0.615,1.4,2.5,2.3,3.2,5.5,1.4,1.6,0.4,9.1,78
152,Kelly Olynyk,BOS,75,20.5,3.5,6.8,0.512,0.9,2.6,0.354,1.2,1.6,0.732,1.3,2.8,1.0,3.8,4.8,2.0,0.6,0.4,9.0,75
153,Evan Turner,POR,65,25.5,3.6,8.5,0.426,0.5,1.8,0.263,1.3,1.6,0.825,1.5,1.9,0.6,3.2,3.8,3.2,0.8,0.4,9.0,74
154,Doug McDermott,OKC,66,22.8,3.4,7.5,0.447,1.2,3.2,0.37,1.1,1.3,0.845,0.6,1.2,0.3,2.4,2.7,0.9,0.2,0.1,9.0,73
155,JaMychal Green,MEM,77,27.3,3.2,6.5,0.5,0.7,1.9,0.379,1.7,2.2,0.802,1.2,3.2,2.2,4.9,7.1,1.1,0.6,0.4,8.9,75
156,DeMarre Carroll,TOR,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.2,1.6,0.7609999999999999,0.8,2.0,0.9,2.9,3.8,1.0,1.1,0.4,8.9,75
157,Al-Farouq Aminu,POR,61,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.6,2.2,0.706,1.5,1.7,1.3,6.1,7.4,1.6,1.0,0.7,8.7,73
158,Marreese Speights,LAC,82,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.5,1.7,0.8759999999999999,0.8,2.8,1.1,3.5,4.5,0.8,0.3,0.5,8.7,74
159,Rondae Hollis-Jefferson,BRK,78,22.6,3.0,6.9,0.434,0.2,0.9,0.22399999999999998,2.4,3.2,0.7509999999999999,1.5,2.3,1.2,4.6,5.8,2.0,1.1,0.6,8.7,75
161,Tony Snell,MIL,80,29.2,3.1,6.8,0.455,1.8,4.4,0.406,0.6,0.7,0.81,0.7,1.6,0.3,2.8,3.1,1.2,0.7,0.2,8.5,75
163,Arron Afflalo,SAC,61,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,1.4,1.5,0.892,0.7,1.7,0.1,1.9,2.0,1.3,0.3,0.1,8.4,73
164,Norman Powell,TOR,76,18.0,3.0,6.7,0.449,0.7,2.3,0.324,1.7,2.1,0.792,0.9,1.7,0.3,1.9,2.2,1.1,0.7,0.2,8.4,75
165,Troy Daniels,MEM,67,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.6,0.8,0.7959999999999999,0.7,1.3,0.3,1.2,1.5,0.7,0.3,0.1,8.2,72
166,Willy Hernangomez,NYK,72,18.4,3.4,6.5,0.529,0.1,0.2,0.267,1.3,1.7,0.728,1.4,2.1,2.4,4.6,7.0,1.3,0.6,0.5,8.2,77
167,Willie Cauley-Stein,SAC,75,18.9,3.4,6.4,0.53,0.0,0.0,0.0,1.3,2.0,0.669,0.9,2.0,1.1,3.4,4.5,1.1,0.7,0.6,8.1,76
168,Ben McLemore,SAC,61,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.1,1.5,0.753,1.0,1.8,0.3,1.8,2.1,0.8,0.5,0.1,8.1,73
169,Al Jefferson,IND,66,14.1,3.6,7.1,0.499,0.0,0.0,0.0,1.0,1.3,0.765,0.5,1.9,1.1,3.1,4.2,0.9,0.3,0.2,8.1,75
170,Tristan Thompson,CLE,78,30.0,3.4,5.6,0.6,0.0,0.0,0.0,1.4,2.7,0.498,0.8,2.3,3.7,5.5,9.2,1.0,0.5,1.1,8.1,78
