,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
337,Jerian Grant,CHI,63,16.3,2.0,4.8,0.425,0.8,2.1,0.366,1.0,1.2,0.89,0.7,1.5,0.3,1.5,1.8,1.9,0.7,0.1,5.9,74
338,Tarik Black,LAL,67,16.3,2.2,4.4,0.51,0.0,0.0,0.5,1.2,1.6,0.752,0.9,2.6,2.1,3.0,5.1,0.6,0.4,0.7,5.7,73
339,Taurean Prince,ATL,59,16.6,1.9,4.8,0.4,0.6,1.7,0.324,1.3,1.6,0.787,1.0,1.6,0.4,2.2,2.7,0.9,0.7,0.5,5.7,75
340,Jason Smith,WAS,74,14.4,2.4,4.4,0.529,0.5,1.1,0.474,0.5,0.7,0.6859999999999999,0.8,2.3,0.9,2.6,3.5,0.5,0.3,0.7,5.7,73
341,Richard Jefferson,CLE,79,20.4,1.9,4.3,0.446,0.8,2.4,0.33299999999999996,1.0,1.4,0.741,0.7,1.9,0.4,2.2,2.6,1.0,0.3,0.1,5.7,74
342,Gerald Green,BOS,47,11.4,2.0,4.9,0.409,0.8,2.4,0.35100000000000003,0.7,0.9,0.805,0.5,1.0,0.3,1.4,1.8,0.7,0.2,0.1,5.6,72
343,Terry Rozier,BOS,74,17.1,2.0,5.6,0.36700000000000005,0.8,2.4,0.318,0.7,0.9,0.773,0.6,0.9,0.5,2.5,3.1,1.8,0.6,0.1,5.5,74
344,Jerami Grant,OKC,80,19.1,1.9,4.1,0.46299999999999997,0.5,1.4,0.371,1.1,1.8,0.612,0.6,1.9,0.5,2.1,2.6,0.6,0.4,1.0,5.5,73
345,Meyers Leonard,POR,74,16.5,2.0,5.1,0.386,1.0,2.9,0.34700000000000003,0.5,0.5,0.875,0.5,2.3,0.4,2.8,3.2,1.0,0.2,0.4,5.4,70
346,Joffrey Lauvergne,CHI,70,14.0,2.1,4.8,0.44,0.5,1.4,0.337,0.7,1.0,0.63,0.8,1.2,1.0,2.6,3.6,1.0,0.4,0.1,5.4,73
347,Malcolm Delaney,ATL,73,17.1,2.0,5.3,0.374,0.4,1.5,0.23600000000000002,1.0,1.3,0.8059999999999999,1.3,1.5,0.1,1.5,1.7,2.6,0.5,0.0,5.4,74
348,Willie Reed,MIA,71,14.5,2.3,4.0,0.568,0.0,0.1,0.25,0.7,1.2,0.557,0.4,1.9,1.8,2.9,4.7,0.4,0.3,0.7,5.3,74
351,Shaun Livingston,GSW,76,17.7,2.3,4.2,0.547,0.0,0.0,0.33299999999999996,0.6,0.8,0.7,0.8,1.6,0.4,1.6,2.0,1.8,0.5,0.3,5.1,75
352,Denzel Valentine,CHI,57,17.1,1.8,5.1,0.354,1.3,3.6,0.35100000000000003,0.2,0.3,0.778,0.9,1.5,0.2,2.5,2.6,1.1,0.5,0.1,5.1,73
353,Dewayne Dedmon,SAS,76,17.5,2.1,3.4,0.622,0.0,0.0,0.0,0.9,1.2,0.6990000000000001,0.8,2.4,1.7,4.8,6.5,0.6,0.5,0.8,5.1,77
354,Trey Burke,WAS,57,12.3,2.0,4.5,0.455,0.5,1.2,0.44299999999999995,0.4,0.5,0.759,0.8,0.9,0.1,0.7,0.8,1.8,0.2,0.1,5.0,71
355,Aaron Brooks,IND,65,13.7,1.9,4.6,0.40299999999999997,0.7,2.0,0.375,0.5,0.6,0.8,1.0,1.4,0.3,0.8,1.1,1.9,0.4,0.1,5.0,73
357,Mario Hezonja,ORL,65,14.8,1.8,5.1,0.355,0.7,2.2,0.299,0.6,0.8,0.8,0.9,1.1,0.3,1.9,2.2,1.0,0.5,0.2,4.9,73
358,Aron Baynes,DET,75,15.5,1.9,3.7,0.513,0.0,0.0,0.0,1.1,1.3,0.84,0.7,2.2,1.5,3.0,4.4,0.4,0.2,0.5,4.9,73
359,Cristiano Felicio,CHI,66,15.8,1.9,3.3,0.579,0.0,0.0,0.0,0.9,1.4,0.645,0.5,1.7,1.9,2.8,4.7,0.6,0.4,0.3,4.8,73
360,Luke Babbitt,MIA,68,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.2,0.2,0.733,0.4,1.7,0.2,1.9,2.1,0.5,0.3,0.2,4.8,70
361,David West,GSW,68,12.6,2.0,3.7,0.536,0.0,0.1,0.375,0.6,0.8,0.768,1.1,1.5,0.7,2.3,3.0,2.2,0.6,0.7,4.6,74
364,Corey Brewer,LAL,82,15.6,1.8,4.2,0.42200000000000004,0.3,1.4,0.22899999999999998,0.6,0.8,0.735,0.7,1.6,0.4,1.6,2.0,1.2,0.7,0.2,4.5,70
365,Davis Bertans,SAS,67,12.1,1.5,3.5,0.44,1.0,2.6,0.39899999999999997,0.4,0.5,0.8240000000000001,0.5,1.1,0.3,1.1,1.5,0.7,0.3,0.4,4.5,72
366,Lucas Nogueira,TOR,57,19.1,1.8,2.7,0.66,0.1,0.2,0.25,0.8,1.2,0.657,0.8,2.4,1.4,2.8,4.3,0.7,0.9,1.6,4.4,73
367,Noah Vonleh,POR,74,17.1,1.8,3.6,0.48100000000000004,0.1,0.3,0.35,0.8,1.3,0.638,0.9,2.1,1.8,3.5,5.2,0.4,0.4,0.4,4.4,72
368,Stanley Johnson,DET,77,17.8,1.7,4.7,0.353,0.6,2.0,0.292,0.5,0.7,0.679,0.9,1.6,0.5,2.0,2.5,1.4,0.7,0.3,4.4,73
369,Dorian Finney-Smith,DAL,81,20.3,1.5,4.1,0.37200000000000005,0.7,2.4,0.293,0.6,0.8,0.754,0.6,1.5,0.7,2.1,2.7,0.8,0.6,0.3,4.3,72
370,Jason Terry,MIL,74,18.4,1.4,3.3,0.43200000000000005,1.0,2.3,0.42700000000000005,0.3,0.4,0.828,0.5,1.3,0.2,1.2,1.4,1.3,0.6,0.3,4.1,69
371,Patrick McCaw,GSW,71,15.1,1.5,3.5,0.433,0.6,1.7,0.33299999999999996,0.4,0.5,0.784,0.5,0.9,0.3,1.1,1.4,1.1,0.5,0.2,4.0,73
372,Thon Maker,MIL,57,9.9,1.5,3.2,0.45899999999999996,0.5,1.3,0.37799999999999995,0.6,0.9,0.653,0.3,1.5,0.7,1.3,2.0,0.4,0.2,0.5,4.0,75
373,Jonas Jerebko,BOS,78,15.8,1.5,3.4,0.435,0.6,1.7,0.34600000000000003,0.3,0.5,0.703,0.5,1.6,0.8,2.7,3.5,0.9,0.3,0.2,3.8,74
374,Kris Dunn,MIN,78,17.1,1.5,4.0,0.377,0.3,0.9,0.28800000000000003,0.5,0.8,0.61,1.1,2.3,0.3,1.8,2.1,2.4,1.0,0.5,3.8,72
375,Tyler Zeller,BOS,51,10.3,1.5,3.1,0.494,0.0,0.0,0.0,0.4,0.8,0.564,0.4,1.2,0.8,1.6,2.4,0.8,0.1,0.4,3.5,73
376,Tyus Jones,MIN,60,12.9,1.2,3.0,0.414,0.4,1.2,0.35600000000000004,0.6,0.7,0.767,0.6,0.8,0.2,0.9,1.1,2.6,0.8,0.1,3.5,73
377,Kyle Anderson,SAS,72,14.2,1.3,2.9,0.445,0.2,0.6,0.375,0.6,0.8,0.789,0.5,0.9,0.5,2.4,2.9,1.3,0.7,0.4,3.4,73
378,Jakob Poeltl,TOR,54,11.6,1.2,2.1,0.583,0.0,0.0,0.0,0.6,1.1,0.544,0.5,2.1,1.4,1.6,3.1,0.2,0.3,0.4,3.1,72
379,Salah Mejri,DAL,73,12.4,1.2,1.9,0.642,0.0,0.0,0.33299999999999996,0.5,0.8,0.59,0.5,2.1,1.3,2.9,4.2,0.2,0.4,0.8,2.9,74
380,Lavoy Allen,IND,61,14.3,1.3,2.8,0.45799999999999996,0.0,0.0,0.0,0.4,0.5,0.6970000000000001,0.5,1.3,1.7,1.9,3.6,0.9,0.3,0.4,2.9,72
381,Semaj Christon,OKC,64,15.2,1.2,3.5,0.345,0.2,1.0,0.19,0.3,0.5,0.5479999999999999,0.7,1.2,0.3,1.1,1.4,2.0,0.4,0.1,2.9,70
383,Wesley Johnson,LAC,68,11.9,1.1,2.9,0.365,0.4,1.7,0.24600000000000002,0.2,0.2,0.647,0.3,1.2,0.4,2.3,2.7,0.3,0.4,0.4,2.7,71
384,Tomas Satoransky,WAS,57,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.4,0.6,0.6970000000000001,0.7,1.1,0.4,1.0,1.5,1.6,0.5,0.1,2.7,70
386,Cole Aldrich,MIN,62,8.6,0.7,1.4,0.523,0.0,0.0,0.0,0.2,0.4,0.682,0.3,1.4,0.8,1.7,2.5,0.4,0.4,0.4,1.7,72
