,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Unnamed: 22,Rating
124,Stephen Curry,GSW,17,35.3,8.9,18.4,0.484,4.2,10.1,0.419,6.1,6.7,0.904,3.4,2.2,1.4,4.9,6.3,6.7,2.0,0.2,28.1,,94
125,Jae Crowder,BOS,18,33.1,4.8,11.1,0.435,1.7,4.9,0.35200000000000004,2.2,2.7,0.833,0.7,2.9,1.1,5.3,6.4,2.7,1.1,0.3,13.6,,80
126,Jamal Crawford,LAC,7,27.9,5.0,11.9,0.42200000000000004,0.9,3.6,0.24,1.7,1.7,1.0,1.3,1.7,0.3,1.0,1.3,1.9,0.6,0.1,12.6,,77
127,Allen Crabbe,POR,4,23.0,2.2,6.0,0.375,0.8,3.2,0.231,0.2,0.8,0.33299999999999996,0.2,2.2,0.0,3.2,3.2,0.5,0.2,0.0,5.5,,75
128,Mike Conley,MEM,6,37.3,8.3,17.2,0.485,2.8,6.3,0.447,5.2,6.2,0.838,2.0,1.8,0.2,3.2,3.3,7.0,1.7,0.5,24.7,,87
129,Ian Clark,GSW,16,13.7,2.5,4.9,0.506,0.8,2.2,0.361,1.0,1.1,0.941,0.7,1.1,0.2,1.4,1.6,0.7,0.4,0.0,6.8,,74
130,Vince Carter,MEM,6,32.5,3.3,7.0,0.47600000000000003,1.3,3.3,0.4,1.2,1.2,1.0,1.7,2.5,0.7,2.7,3.3,1.5,0.3,0.0,9.2,,74
131,DeMarre Carroll,TOR,10,15.5,1.5,3.7,0.405,0.7,2.2,0.318,0.5,0.9,0.556,0.5,1.3,0.4,2.3,2.7,0.5,0.8,0.5,4.2,,75
132,Clint Capela,HOU,11,26.0,4.2,7.5,0.561,0.0,0.1,0.0,2.2,3.5,0.615,0.7,2.5,2.4,6.4,8.7,1.1,0.7,2.5,10.5,,79
133,Isaiah Canaan,CHI,3,31.8,4.3,8.7,0.5,1.7,4.7,0.35700000000000004,1.3,2.0,0.667,1.7,2.0,0.0,1.3,1.3,1.3,1.0,0.0,11.7,,70
134,Jose Calderon,ATL,6,12.5,1.8,3.8,0.478,0.7,2.0,0.33299999999999996,0.0,0.0,0.0,0.7,1.5,0.3,1.0,1.3,2.2,0.3,0.2,4.3,,71
135,Jimmy Butler,CHI,6,39.8,7.7,18.0,0.426,1.0,3.8,0.261,6.3,7.8,0.809,2.5,1.7,1.5,5.8,7.3,4.3,1.7,0.8,22.7,,90
136,Jaylen Brown,BOS,17,12.6,2.0,4.2,0.479,0.3,1.4,0.217,0.7,1.1,0.667,0.8,1.5,0.7,1.4,2.1,0.8,0.4,0.1,5.0,,76
137,Malcolm Brogdon,MIL,6,30.5,3.7,9.2,0.4,1.7,3.5,0.47600000000000003,0.0,0.0,0.0,2.0,2.0,0.5,3.8,4.3,3.5,0.5,0.3,9.0,,78
138,Avery Bradley,BOS,18,35.8,6.7,15.1,0.441,2.2,6.3,0.35100000000000003,1.2,1.5,0.778,1.7,2.2,1.0,2.9,3.9,2.3,1.3,0.2,16.7,,83
139,Bojan Bogdanovic,WAS,13,20.3,2.8,6.7,0.414,1.2,3.5,0.35600000000000004,2.1,2.5,0.8440000000000001,0.6,1.3,0.8,3.5,4.3,0.7,0.5,0.1,8.8,,77
140,Patrick Beverley,HOU,11,29.5,4.1,9.9,0.413,1.9,4.7,0.40399999999999997,1.0,1.3,0.7859999999999999,1.6,3.5,1.9,3.6,5.5,3.0,1.5,0.2,11.1,,79
141,Davis Bertans,SAS,13,8.6,0.9,2.1,0.444,0.6,1.5,0.4,0.3,0.5,0.667,0.5,0.5,0.4,1.2,1.5,0.2,0.2,0.3,2.8,,72
142,Bradley Beal,WAS,13,38.9,9.4,19.9,0.47100000000000003,2.2,7.8,0.287,3.8,4.7,0.82,2.1,2.9,1.2,2.2,3.4,2.7,1.6,0.6,24.8,,87
143,Kent Bazemore,ATL,6,25.1,3.5,8.8,0.396,1.2,4.0,0.292,1.7,2.3,0.7140000000000001,2.7,2.5,0.7,3.2,3.8,3.3,0.7,0.8,9.8,,74
145,Trevor Ariza,HOU,11,37.5,3.7,8.8,0.423,2.1,5.5,0.377,1.2,1.3,0.929,0.8,2.3,0.7,4.4,5.1,2.1,1.3,0.2,10.7,,78
146,Giannis Antetokounmpo,MIL,6,40.5,10.0,18.7,0.536,0.7,1.7,0.4,4.2,7.7,0.5429999999999999,3.3,3.5,1.7,7.8,9.5,4.0,2.2,1.7,24.8,,91
147,Ryan Anderson,HOU,11,30.5,3.3,8.4,0.391,1.5,5.5,0.28300000000000003,1.3,1.5,0.875,0.8,2.2,1.4,3.8,5.2,0.6,0.4,0.2,9.4,,78
148,Kyle Anderson,SAS,15,13.0,2.4,4.3,0.562,0.2,0.7,0.3,0.5,0.7,0.727,0.5,0.5,0.8,2.3,3.1,1.7,0.7,0.1,5.5,,73
149,Al-Farouq Aminu,POR,4,28.2,4.2,9.2,0.45899999999999996,1.8,4.2,0.41200000000000003,1.8,2.8,0.636,2.2,2.2,1.2,5.2,6.5,1.0,0.8,1.0,12.0,,73
150,LaMarcus Aldridge,SAS,16,33.6,6.9,15.0,0.45799999999999996,0.1,0.9,0.14300000000000002,2.6,3.4,0.764,1.8,2.6,2.7,4.8,7.4,1.5,0.6,1.0,16.5,,85
151,Steven Adams,OKC,5,31.4,3.6,5.6,0.643,0.0,0.0,0.0,0.8,2.2,0.364,0.8,2.8,3.4,3.4,6.8,1.4,1.2,1.8,8.0,,82
152,Alex Abrines,OKC,5,16.0,1.6,4.6,0.348,1.0,3.4,0.294,0.6,0.8,0.75,0.0,1.6,0.4,1.4,1.8,0.8,0.0,0.0,4.8,,74
